StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study_Hours,Attendance_Pct,Online_Classes_Taken
8998,John,Male,85.0,15.0,78.0,1.0,High,80.0,4.8,59.0,False
5638,Sarah,Female,90.0,20.0,85.0,2.0,Medium,87.0,2.2,70.0,True
8783,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,4.6,92.0,False
9867,Michael,Male,92.0,25.0,90.0,3.0,High,92.0,2.9,96.0,False
87549,Emma,Female,88.0,18.0,82.0,2.0,Medium,85.0,4.1,97.0,True
9864,Olivia,Female,95.0,30.0,88.0,1.0,High,80.0,2.8,97.0,False
8463,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,4.5,96.0,False
4473,Sophia,Female,88.0,17.0,77.0,1.0,Medium,78.0,1.0,70.0,True
3467,James,Male,82.0,12.0,70.0,2.0,Low,72.0,3.6,50.0,False
6544,Isabella,Female,91.0,22.0,86.0,3.0,High,88.0,2.9,59.0,True
2824,Shannon Harrison,Male,88.0,25.0,90.0,0.0,High,87.0,3.4,84.0,True
7912,Peter Davila,Male,85.0,20.0,78.0,3.0,Low,88.0,0.1,62.0,False
4611,Katherine Gray,Female,91.0,18.0,78.0,0.0,Low,62.0,1.7,59.0,True
6514,Megan Miller,Male,90.0,8.0,85.0,1.0,Medium,88.0,1.3,52.0,False
10014,James Williams,Male,70.0,20.0,70.0,2.0,Low,88.0,4.4,73.0,True
2139,Derrick Alexander,Male,88.0,18.0,85.0,3.0,High,62.0,1.4,90.0,False
8573,James Smith,Female,88.0,12.0,90.0,1.0,High,92.0,4.1,70.0,False
5386,James Reynolds,Male,92.0,22.0,88.0,3.0,Low,78.0,2.0,91.0,False
3340,Brittany Sutton,Female,78.0,25.0,70.0,2.0,Medium,88.0,2.1,87.0,False
6930,Annette Medina,Male,78.0,12.0,77.0,2.0,High,87.0,0.8,60.0,False
2040,James Duncan,Female,70.0,22.0,77.0,2.0,Medium,72.0,4.3,50.0,True
9797,Donna Taylor,Female,95.0,20.0,82.0,2.0,High,78.0,0.0,96.0,False
9201,David Robertson,Male,82.0,20.0,82.0,2.0,Low,80.0,0.8,98.0,True
9837,Susan Brown,Male,91.0,30.0,77.0,1.0,High,90.0,4.4,69.0,True
1949,Jessica Ortega,Male,91.0,20.0,78.0,1.0,High,72.0,3.8,58.0,False
3705,Jeremy Hall,Female,88.0,17.0,60.0,3.0,Low,92.0,3.6,75.0,False
8177,Peter Jones,Female,90.0,25.0,90.0,2.0,Medium,80.0,2.9,64.0,True
1117,Michael Sampson,Male,85.0,25.0,78.0,1.0,Medium,87.0,2.6,67.0,False
4510,Daniel Erickson,Male,91.0,22.0,77.0,3.0,Medium,62.0,1.0,56.0,False
6804,David Aguilar,Female,70.0,17.0,78.0,2.0,High,80.0,3.6,56.0,True
4139,Benjamin Vance,Male,82.0,17.0,65.0,0.0,High,85.0,2.3,54.0,False
2604,Yolanda Chen,Male,82.0,15.0,85.0,3.0,High,80.0,2.4,63.0,False
1960,Kristina Douglas,Male,88.0,15.0,60.0,2.0,Medium,85.0,2.1,96.0,False
3536,Scott Davidson,Male,88.0,25.0,78.0,3.0,Low,72.0,0.3,70.0,True
1821,Alexandra Harrington,Female,82.0,12.0,65.0,1.0,Low,87.0,4.3,54.0,True
4853,Richard Johnson,Female,90.0,22.0,90.0,3.0,Low,80.0,3.1,76.0,False
1152,Jerry Browning,Female,91.0,22.0,85.0,2.0,Low,92.0,2.5,58.0,False
2127,Carrie Page,Male,95.0,18.0,65.0,1.0,Low,85.0,3.1,91.0,True
5905,Michelle Benjamin,Male,78.0,18.0,85.0,2.0,Low,72.0,0.8,68.0,True
6617,James Woods,Male,88.0,12.0,77.0,2.0,High,87.0,3.2,67.0,True
1058,Angela Dunn,Female,78.0,18.0,65.0,1.0,Low,62.0,2.8,57.0,True
3442,Nathan Riley,Male,95.0,22.0,70.0,0.0,Medium,68.0,0.2,73.0,True
6862,Shelby Mahoney,Male,92.0,20.0,88.0,2.0,Medium,88.0,3.7,65.0,True
3900,Andrea Frey,Female,85.0,10.0,88.0,0.0,Low,92.0,1.3,100.0,True
7267,Justin Martin,Male,85.0,25.0,90.0,1.0,Medium,85.0,4.1,64.0,True
1387,Mark Hartman,Male,70.0,30.0,82.0,2.0,Medium,90.0,3.2,75.0,False
1452,Antonio Hansen,Male,88.0,10.0,86.0,2.0,High,87.0,3.0,72.0,False
8149,Lynn Anderson,Male,70.0,22.0,90.0,2.0,High,62.0,0.0,84.0,True
6967,Michael Cooley,Female,90.0,30.0,86.0,1.0,Low,87.0,3.6,69.0,False
7691,Mitchell Sanders,Female,70.0,18.0,70.0,0.0,High,62.0,3.3,74.0,True
5930,Maria Cross,Female,82.0,17.0,82.0,2.0,High,62.0,3.9,88.0,False
8618,Lisa Castillo,Female,85.0,25.0,70.0,1.0,Low,68.0,3.3,68.0,False
2530,Theresa Rodriguez,Male,88.0,25.0,90.0,0.0,High,80.0,1.2,80.0,True
8461,Kimberly Wood,Female,91.0,25.0,60.0,1.0,Medium,92.0,0.7,94.0,True
2746,Patricia Cox,Female,92.0,10.0,70.0,1.0,High,72.0,1.2,57.0,False
3184,Kimberly Blair,Female,82.0,12.0,86.0,1.0,Medium,88.0,4.1,82.0,False
9976,Jason Ramirez,Female,78.0,17.0,77.0,2.0,High,85.0,3.8,83.0,False
4919,Gail Dudley,Female,85.0,20.0,82.0,3.0,Medium,90.0,1.6,84.0,True
3267,John West,Male,92.0,8.0,65.0,3.0,High,62.0,2.0,84.0,False
7812,Patricia Carr,Male,92.0,8.0,60.0,3.0,Low,80.0,4.3,98.0,False
8814,David Nunez,Male,95.0,18.0,60.0,0.0,Low,72.0,4.0,64.0,False
4595,Collin Peterson,Female,70.0,17.0,78.0,0.0,Medium,62.0,3.6,79.0,True
9751,Rebecca Smith,Male,70.0,22.0,86.0,1.0,High,62.0,0.7,79.0,True
1823,Lisa Benjamin,Female,70.0,30.0,90.0,1.0,Medium,90.0,3.8,76.0,False
7906,Desiree Reyes,Female,90.0,17.0,78.0,2.0,High,90.0,1.1,54.0,True
1508,Megan Diaz,Male,92.0,15.0,86.0,0.0,High,68.0,2.4,57.0,True
8619,Joseph Adams,Female,95.0,10.0,86.0,3.0,Low,87.0,3.9,60.0,False
2771,Sharon Watson,Male,88.0,22.0,60.0,0.0,Low,92.0,0.4,94.0,True
2669,Tiffany Smith,Female,91.0,20.0,86.0,1.0,Medium,72.0,2.1,73.0,True
9289,Alexander Preston,Female,85.0,8.0,77.0,2.0,Medium,90.0,3.2,79.0,True
8135,Randall Hickman,Male,82.0,18.0,86.0,2.0,Medium,78.0,2.2,96.0,False
6280,David Hernandez,Male,90.0,18.0,77.0,3.0,Medium,88.0,3.1,74.0,False
1470,Michelle Jones,Female,95.0,10.0,77.0,3.0,Medium,85.0,-5.0,200.0,False
1166,Tonya Gonzalez,Male,90.0,25.0,60.0,1.0,Low,92.0,3.5,91.0,False
8342,Sarah Johnson,Male,90.0,18.0,90.0,0.0,Low,92.0,1.5,87.0,False
8753,Grace Valencia,Female,70.0,12.0,88.0,1.0,Low,78.0,1.4,66.0,True
2976,Sarah Young,Male,95.0,20.0,70.0,0.0,High,92.0,3.7,67.0,False
2647,Gerald Weber,Male,88.0,25.0,88.0,2.0,Medium,80.0,3.5,58.0,False
1745,Gregory Turner,Male,82.0,18.0,78.0,1.0,High,80.0,2.9,80.0,False
8216,Laura Cortez,Female,78.0,15.0,82.0,1.0,High,87.0,2.0,54.0,True
3485,Lori Miller,Male,91.0,18.0,85.0,3.0,High,72.0,3.8,88.0,True
9561,Lori Gomez PhD,Female,85.0,17.0,82.0,3.0,Medium,85.0,2.8,53.0,True
4404,Dawn Foster,Male,88.0,20.0,65.0,2.0,High,72.0,0.4,50.0,False
8381,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,80.0,3.5,79.0,True
4824,Maria Carter,Female,91.0,25.0,60.0,2.0,Low,92.0,3.2,67.0,True
2169,Daniel Hood,Male,78.0,18.0,86.0,3.0,Medium,78.0,0.6,94.0,False
7594,Amanda Hernandez,Female,82.0,12.0,77.0,1.0,High,88.0,0.2,77.0,False
5102,Alyssa Schmidt,Male,90.0,25.0,86.0,3.0,High,85.0,2.9,98.0,True
8708,Taylor Merritt DVM,Female,88.0,10.0,86.0,0.0,Low,78.0,4.8,80.0,False
7690,Alyssa Smith,Male,95.0,20.0,65.0,1.0,Medium,78.0,1.4,75.0,True
8451,Nathan Navarro,Male,95.0,18.0,88.0,2.0,Medium,72.0,4.1,50.0,False
7770,Lisa Zimmerman,Male,92.0,12.0,88.0,3.0,Medium,78.0,3.8,63.0,False
9998,Jeffrey Howard,Male,88.0,17.0,77.0,2.0,High,88.0,2.5,95.0,True
6091,Morgan Bell,Male,82.0,17.0,85.0,2.0,High,78.0,4.7,91.0,True
9165,Angelica Steele,Female,82.0,18.0,60.0,1.0,Medium,92.0,2.3,59.0,False
4122,Gregory Daniels,Male,90.0,18.0,60.0,1.0,Low,85.0,4.1,68.0,False
9022,Eric Davis,Male,85.0,12.0,77.0,1.0,Medium,72.0,3.8,74.0,False
7325,Ruth Davis,Male,85.0,15.0,65.0,2.0,Low,90.0,4.3,78.0,True
9617,Emily Torres,Male,85.0,17.0,60.0,0.0,High,78.0,3.9,66.0,False
7512,Nancy Davis,Male,95.0,12.0,60.0,1.0,Low,78.0,4.4,52.0,True
4846,Amanda Bowers,Female,92.0,20.0,60.0,2.0,Low,87.0,2.2,94.0,False
1474,Alison Lang,Male,95.0,15.0,82.0,1.0,Medium,62.0,0.7,83.0,False
3950,Matthew Massey,Male,78.0,20.0,86.0,2.0,Low,92.0,2.5,76.0,True
4804,James Anderson,Male,88.0,17.0,82.0,1.0,Medium,85.0,3.4,60.0,True
8237,Robert Howard,Female,91.0,18.0,60.0,2.0,Medium,85.0,1.0,74.0,False
2747,Rebecca Brown,Male,70.0,22.0,88.0,3.0,Medium,85.0,0.1,92.0,False
5497,Kimberly Harrison,Male,91.0,15.0,86.0,2.0,Medium,92.0,3.0,72.0,True
4115,Derek Parks,Female,78.0,20.0,78.0,2.0,Medium,80.0,2.9,76.0,True
2476,Jennifer Baker,Female,95.0,8.0,65.0,3.0,High,72.0,4.4,73.0,False
3695,Diana Schultz,Female,85.0,18.0,88.0,2.0,Medium,87.0,0.7,64.0,False
6992,Mrs. Jill Long,Male,70.0,15.0,82.0,2.0,High,78.0,1.8,97.0,False
7242,Heather Johnson,Female,90.0,25.0,77.0,1.0,Low,72.0,1.6,89.0,True
2035,Robert Lowery,Female,88.0,8.0,85.0,0.0,High,80.0,1.5,81.0,True
2592,Unknown Student,Male,82.0,10.0,60.0,1.0,Medium,72.0,2.1,97.0,True
7797,Angela Williams,Male,85.0,22.0,60.0,2.0,High,80.0,1.1,78.0,True
6942,Brent Burns,Male,95.0,12.0,88.0,1.0,Medium,85.0,0.9,57.0,False
2501,Melissa Barber,Male,91.0,15.0,78.0,1.0,High,68.0,3.9,63.0,True
4394,John Warner,Male,92.0,30.0,65.0,3.0,High,80.0,4.3,59.0,True
9850,Christopher Baxter,Female,78.0,17.0,78.0,0.0,High,90.0,3.9,65.0,False
1258,Courtney Haas,Male,88.0,15.0,65.0,0.0,Low,87.0,3.7,80.0,False
6931,Sarah Ross,Male,85.0,12.0,90.0,3.0,High,72.0,1.5,91.0,True
